time 	curr	srvc	payld	bdw	NoC	InPort	target_router
13222	0	29	2	2	2	L	0
13226	0	19	2	2	2	L	8192
13230	0	24	8	63	3	W	0
13302	0	29	4	4	2	L	0
13307	0	29	4	4	2	L	256
13310	256	29	4	4	2	W	256
13365	0	24	8	62	3	W	0
13436	0	29	2	2	2	L	256
13438	256	29	2	2	2	W	256
13613	0	31	2	2	1	L	0
13622	256	31	2	2	1	L	0
13623	0	19	2	2	2	L	8192
13624	0	31	2	2	1	E	0
13756	0	24	8	60	3	W	0
13825	0	29	4	4	2	L	0
13830	0	29	4	4	2	L	256
13833	256	29	4	4	2	W	256
13849	0	31	2	2	1	L	0
13853	0	31	2	2	1	L	0
13857	256	31	2	2	1	L	0
13859	0	31	2	2	1	E	0
13859	0	29	4	4	2	L	0
13861	256	31	2	2	1	L	0
13863	0	31	2	2	1	E	0
13864	0	29	2	2	2	L	0
13869	0	29	4	4	2	L	256
13871	256	29	4	4	2	W	256
13874	0	29	2	2	2	L	256
13877	256	29	2	2	2	W	256
13906	0	31	2	2	1	L	0
13916	0	19	2	2	2	L	8192
13918	256	31	2	2	1	L	0
13920	0	31	2	2	1	E	0
14045	0	24	8	63	3	W	0
14117	0	29	4	4	2	L	0
14122	0	29	4	4	2	L	256
14125	256	29	4	4	2	W	256
14258	0	31	2	2	1	L	0
14266	256	31	2	2	1	L	0
14268	0	31	2	2	1	E	0
14268	0	29	4	4	2	L	0
14278	0	29	4	4	2	L	256
14280	256	29	4	4	2	W	256
14298	0	31	2	2	1	L	0
14308	0	29	4	4	2	L	0
14310	256	31	2	2	1	L	0
14312	0	31	2	2	1	E	0
14322	0	29	4	4	2	L	256
14324	256	29	4	4	2	W	256
14328	0	31	2	2	1	L	0
14338	0	19	2	2	2	L	8192
14344	256	31	2	2	1	L	0
14346	0	31	2	2	1	E	0
14471	0	24	8	63	3	W	0
14543	0	29	4	4	2	L	0
14548	0	29	4	4	2	L	256
14551	256	29	4	4	2	W	256
14594	0	31	2	2	1	L	0
14602	256	31	2	2	1	L	0
14604	0	31	2	2	1	E	0
14604	0	29	4	4	2	L	0
14614	0	29	4	4	2	L	256
14616	256	29	4	4	2	W	256
16365	0	31	2	2	1	L	0
16375	0	19	2	2	2	L	8192
16379	256	31	2	2	1	L	0
16381	0	31	2	2	1	E	0
16506	0	24	8	62	3	W	0
16577	0	29	4	4	2	L	0
16582	0	29	4	4	2	L	256
16585	256	29	4	4	2	W	256
